,Date Added,Task ID,Action,User,Description,Date of Engagement,Approved
0,2021-12-13 06:34:34,4x9,🏵 Attended Committee Call,mgd88,Hopped on a on boarding call with Zoe,2021-12-13,FALSE
1,2021-12-13 11:44:08,w3e,🎳 Posted about us in external/private forum,mgd88,Reached out LexDAO to investigate their process on POAPs ,2021-12-13,FALSE
2,2021-12-13 11:42:41,xp6,"👩‍💼 Grants - administration - followup, refinement, onboarding ",mgd88,Emailed all of the current grant proposals that we have received their proposal and will respond in Q1,2021-12-13,FALSE
3,2021-12-15 05:47:37,ixl,🗳 Vote on a Proposal,mgd2,maya,2021-12-15,FALSE
4,2021-12-15 08:16:20,vyn,📞 Attended DAO-Wide Call,mgd21,,2021-12-15,FALSE
5,2021-12-15 08:17:57,4x9,🏵 Attended Committee Call,mgd34,,2021-12-15,FALSE
6,2021-12-15 18:40:18,vyn,📞 Attended DAO-Wide Call,mgd89,,2021-12-15,FALSE
7,2021-12-15 20:46:27,dzq,💃 Sponsor a Proposal,mgd89,Sponsored Shannon.e.Donnelly’s membership proposal!,2021-12-15,FALSE
8,2021-12-15 20:45:37,ixl,🗳 Vote on a Proposal,mgd89,Voted for Shannon.e.Donnelly!,2021-12-15,FALSE
9,2021-12-15 20:52:44,due,📩 Submit a Proposal,mgd89,My membership proposal!,2021-12-08,FALSE
10,2021-12-15 20:55:13,p3i,⌨️ Started Discord conversation,mgd89,Asked members in the discord to vote for Shannon.e.Donnelly’s member proposal!,2021-12-15,FALSE
11,2021-12-15 20:53:49,klo,👋 Joined the DAO,mgd89,Joined!,2021-12-14,FALSE
